geo_id,chain,address,city,state,zip,lat,lon,size_sqft,property_type
FRESH-US-OH-0001,Kroger Supermarket,1500 W 5th Ave,Columbus,OH,43212,39.92475,-82.97277,35850,Commercial Logistics & Retail
FRESH-US-TX-0002,Amazon Fulfillment Center,1024 Industrial Blvd,Austin,TX,78701,30.29963,-97.76364,36700,Commercial Logistics & Retail
FRESH-US-TX-0003,Home Depot Supply Yard,1036 Tradeport Dr,San Antonio,TX,78205,29.42092,-98.42598,37550,Commercial Logistics & Retail
FRESH-US-TX-0004,Walmart Supercenter,1048 Enterprise Rd,Fort Worth,TX,76102,32.77671,-97.35033,38400,Commercial Logistics & Retail
FRESH-US-CA-0005,Costco Wholesale Depot,1060 Technology Way,Los Angeles,CA,90012,34.11944,-118.30371,39250,Commercial Logistics & Retail
FRESH-US-CA-0006,Publix Distribution Center,1072 Freight Corridor Rd,Ontario,CA,91761,34.0532,-117.60149,40100,Commercial Logistics & Retail
FRESH-US-CA-0007,UPS Global Freight,1084 Corporate Pkwy,Fremont,CA,94538,37.58059,-121.94622,40950,Commercial Logistics & Retail
FRESH-US-CA-0008,FedEx Express Terminal,1096 Gateway Blvd,Stockton,CA,95202,37.95116,-121.32958,41800,Commercial Logistics & Retail
FRESH-US-CA-0009,Sysco Cold Storage,1108 Distribution Center Dr,San Diego,CA,92101,32.68081,-117.19766,42650,Commercial Logistics & Retail
FRESH-US-FL-0010,Kroger Supermarket,1120 Commerce Way,Miami,FL,33130,25.80243,-80.14329,43500,Commercial Logistics & Retail
FRESH-US-FL-0011,Target Logistics Hub,1132 Logistics Pkwy,Orlando,FL,32801,28.53992,-81.34908,44350,Commercial Logistics & Retail
FRESH-US-FL-0012,Amazon Fulfillment Center,1144 Industrial Blvd,Jacksonville,FL,32202,30.36416,-81.72674,45200,Commercial Logistics & Retail
FRESH-US-FL-0013,Home Depot Supply Yard,1156 Tradeport Dr,Tampa,FL,33602,27.90149,-82.46218,46050,Commercial Logistics & Retail
FRESH-US-FL-0014,Walmart Supercenter,1168 Enterprise Rd,Lakeland,FL,33801,28.05747,-81.89273,46900,Commercial Logistics & Retail
FRESH-US-GA-0015,Costco Wholesale Depot,1180 Technology Way,Atlanta,GA,30303,33.67703,-84.43539,47750,Commercial Logistics & Retail
FRESH-US-GA-0016,Publix Distribution Center,1192 Freight Corridor Rd,Savannah,GA,31401,32.0487,-81.07963,48600,Commercial Logistics & Retail
FRESH-US-AZ-0017,UPS Global Freight,1204 Corporate Pkwy,Phoenix,AZ,85003,33.47018,-112.11074,49450,Commercial Logistics & Retail
FRESH-US-AZ-0018,FedEx Express Terminal,1216 Gateway Blvd,Tucson,AZ,85701,32.21669,-110.96204,50300,Commercial Logistics & Retail
FRESH-US-AZ-0019,Sysco Cold Storage,1228 Distribution Center Dr,Goodyear,AZ,85338,33.3994,-112.3365,51150,Commercial Logistics & Retail
